,Name,target,src
35,35," Did you come up with any recipes from scratch?
"," What is your best experience from your previous jobs?
When I worked at a restaurant. I loved cooking and coming up with new recipes.  
"
36,36," Do you have many friends that are working here. 
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
The salary is good and I have heard from some friends that this is a great place work.
"
37,37," Why did you quit that job?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have worked in a similar warehouse before, with around ten colleagues. 
"
38,38," We package coffee and coco beans. 
"," Is there anything you want to ask about this job?
What products do you have in ou warehouse?
"
39,39," How did you work as a mailman?
"," What is your best experience from your previous jobs?
When I worked as a mailman. I got a lot of exercise during my work day. 
"
40,40," What is you favorite truck to drive? 
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
Driving is my passion and I like trucks. 
"
41,41," That is nice, but do you have any experience working with other people?
"," If you are going to work at our cargo company, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I have usually get a long well with other people. 
"
42,42," Ok, what is the job about then?
"," Is there anything you want to ask about this job?
No, I think that I understand what the job is about.
"
43,43," Ok, are you still in school then?
"," What is your best experience from your previous jobs?
I have not had any other job before. 
"
44,44," Ok, can you give any examples of a stressful situation and how you handled it?
"," How do you handle stressful situations in your work?
I have a lot of experience with stressful situations and I can handle them well.
"
45,45," I see, having fun at work is very important. Do you have any examples of how you maintain good relations with your colleagues?
"," Can you tell me about what type of relations you usually have with your colleagues?
I like working with them and I often have fun with them as well, but normally only during work time. I don't meet them much on my free time.
"
46,46," You can do both. First about you as a person and them about your work experience.
"," Tell me a bit about yourself.
Of course. Personally or about myself as a working person?
"
47,47," Thank you. Is there any other specific reason that makes you apply for a job here?
"," Can you tell me about what you know about this company and our products?
Of course. I know that you are a big restaurant franchise and that your food is very popular. Everyone I know have heard about you and loves your food.
"
48,48," Great! What have you heard about our company?
"," You have applied for the job as a Taxi Driver. What makes you interested in working for our company?
I am interested in working for your company because I have heard many great things about it.
"
49,49," How long have you had your drivers licence?
"," Do you have a drivers licence?
Yes, I have a drivers licence.
"
50,50," What have you worked as previously?
"," Have you got any past experience working as a taxi driver?
No, I have never worked as a taxi driver before.
"
51,51," Have you ever worked the night shift before? One of our shifts is between 10 PM-06 AM.
"," Working as a taxi driver you need to be able to work during different time shifts. Is this okay for you?
Yes, this is fine. 
"
52,52," It depends on the day and time of day. But between 15-20 customers per day. 
"," Do you have any questions about this job?
Yes, how many customers does a taxi driver get per day?
"
53,53," Great! How many years have you worked as a cleaner?
"," You have applied for one of our jobs as a cleaner. Have you previously worked in cleaning?
Hi, yes thats right. Yes I have previously worked as a cleaner. 
"
54,54," How long have you had a drivers licence?
"," Our customers are spread across the city and our cleaners usually drive to the locations. Do you have a drivers licence?
Yes, I have a drivers licence.
"
55,55," Great, what do you enjoy about working as a cleaner?
"," What have you worked with previously?
I have previously worked as a cleaner for 2 years and I have worked in a warehouse for 5 years.
"
56,56," The work hours are between 8 AM - 17 PM. You will have a lunch break between 11.30 AM - 12.15 PM. 
"," Do you have any questions about the job?
Yes, what are the work hours?
"
57,57," Great! We are looking to hire immediately.
"," If we choose to hire you, when can you start working?
I am currently in between jobs, therefore I can start working immediately. 
"
58,58," Great, you have a lot of experience. What do like about carpenting?
"," You have applied for the job as carpenter. How long have you worked with carpenting previously?
I started studying carpenting when I was 16 years old. I have worked with carpenting for 10 years, since I was 18 years old.
"
59,59," Interesting, what projects have you worked on before?
"," What makes you a good fit?
I have a lot of experience in the field and have worked on a lot of different projects.
"
60,60," Do you prefer working in a team than working alone?
"," This position requires you to work in a team of carpenters, have you got any experience with working in a team before?
Yes, I have worked with teams of carpenters before. 
"
61,61," Great, we will get in touch once we have interviewed all the applicants. 
"," Do you have any questions about the job?
Not really, I am very interested to get started!
"
62,62," Why do you think it will fit you well?
"," You have applied for the job as a security guard. What makes you interested in this position?
I am interested in becoming a security guard as I think it will fit me very well.
"
63,63," What have you previously worked as?
"," Do you have any past experience in working as a security guard?
No, I do not have any past experience. 
"
64,64," It is a bonus if you get to know the client aswell, does this work for you?
"," Working as a security guard you need to be able to work in a pair together with a colleague. Does this work for you?
Yes, I am a sociable person and like working with people.
"
65,65," Do you have any experience from working different shifts?
"," Are you able to work different shifts?
Yes, I do not mind working different shifts on different days.
"
66,66," We have security guards at shopping centres, different shops, the subway as well as at different industrial locations.
"," Do you have any questions about the position?
Yes, what different places can I expect to work at?
"
67,67," Do you know anyone who has worked here previously?
"," You have applied for the job as a bartender. Why have you applied for this job?
I have applied for this job because I have heard it is a nice place to work at. 
"
68,68," Have you got experience working any different jobs?
"," How long have you worked as a bartender for?
I have worked as a bartender for 3 years. 
"
69,69," Good, this position is for weekends only. Does this work for you?
"," Are you able to work weekends?
Yes, I am able to work weekends. 
"
70,70," How long was the course you took?
"," Do you have any education in making cocktails etc?
Yes, I took a course in making cocktails and drinks. It should have been attached to my application.
"
71,71," Currently there are 3 other bartenders working at the bar.
"," Do you have any questions about the position?
Yes, how many colleagues will I have?
"
72,0," What pastries have you baked in the past?
"," You have applied for the job as baker. What do you think is interesting about this work?
I think it is interesting to learn locally baked French pastries.
"
73,1," What do you think is your greatest skill?
"," What makes you a good fit?
I have all the skills and experience listed in the job description.
"
74,2," Awesome. What is your main task as a part of that team?
"," If you are going to work as a baker, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I had been a part of the production team in a cafe before. We are composed of three production bakers.
"
75,3," Some other tasks that you can potentially take over include mentoring your acquaintances.
"," Is there anything you want to ask about this job?
Aside from baking pastries, what other tasks should I expect to take over?
"
76,4," Why do you like baking training?
"," What is your best experience from your previous jobs?
My best experience is being able to attend free baking training every year.
"
77,5," What are the usual people you encounter in your last job?
"," You have applied for the job as a healthcare worker. What do you think is interesting about this work?
I think it is interesting to meet new people and keep them company until they get better.
"
78,6," How long have you worked at that hospital?
"," What makes you a good fit?
I think I am a good fit because I worked at a hospital before.
"
79,7," Great. What type of patients are you helping with?
"," If you are going to work in the healthcare industry, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
When I worked as a healthcare assistant, I worked with patients. I helped them with their basic hygiene activities.
"
80,8," We have open healthcare assistant jobs for pediatrics, maternity, and geriatrics right now. You will be assigned to the ward that is most relevant to your skills and experience. 
"," Is there anything you want to ask about this job?
Is there an open job position in the pediatric ward? If ever, can I help out there?
"
81,9," Sounds interesting. What job role have you played while working there?
"," What is your best experience from your previous jobs?
When I did volunteer work for malnourished children in Asia.
"
82,10," What are you most experienced in cars, the electric-powered or gasoline-powered?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
I'm passionate about cars. It's interesting to know that I can help people to save their cars.
"
83,11," How many car owners do you interview a day?
"," If you are going to work in our car shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I am working directly with the car owners so they can describe their problematic encounters to me.
"
84,12," Yes. You will sign-up for at least one year of the work contract agreement.
"," Is there anything you want to ask about this job?
Am I going to work on a contract basis?
"
85,13," How did you do in that competition?
"," What is your best experience from your previous jobs?
When my past employer holds an annual car mechanic competition to repair a car.
"
86,14," What store duties have you done before?
"," You have applied for the job as a retail worker. What do you think is interesting about this job?
It's interesting to keep the store always neat and organized. Eye pleasing to the customers.
"
87,15," What duty do you partake on stock delivery?
"," If you are going to work in our shop, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked with delivery teams on my past retail job before.
"
88,16," Yes. We will train you basic things about the shop regardless of your experience in the past.
"," Is there anything you want to ask about this job?
Do you offer on-the-job training?
"
89,17," What did you like about team building?
"," What is your best experience from your previous jobs?
My best experience is when the company I worked for in the past arranges team building every year.
"
90,18," Do you have experience doing inventory work on a computer or manually?
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
I like to work on administrative tasks in inventory controls.
"
91,19," How did you cooperate with your warehouse manager at that time?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I worked closely with the warehouse manager on my previous work.
"
92,20," The minimum shift is six hours a day while on busy days can go up to eight hours a day.
"," Is there anything you want to ask about this job?
How long are the shifts?
"
93,21," How did you work as a mailman?
"," What is your best experience from your previous jobs?
When I worked as a mailman. I got a lot of exercise during my work day. 
"
94,22," How long did you drive on a day on your past job? (if any)
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
I like driving long roads.
"
95,23," Are you comfortable working with a codriver?
"," If you are going to work at our cargo company, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I have a codriver working with me where we exchange shifts during more than eight-hour-long drives.
"
96,24," The job requires you to work for five days a week.
"," Is there anything you want to ask about this job?
How many days a week should I work?
"
97,25," Great. What else does your past employer give as a great offer to you back then?
"," What is your best experience from your previous jobs?
The best experience in my past job is when my employer takes care of our lodging when we do very long-hour drives.
"
98,26," What physical jobs have you done before?
"," You have applied for the job as a warehouse hand. What do you think is interesting about this work?
I like to do more physically active jobs than clerical jobs.
"
99,27," What is your duty as part of your team?
"," If you are going to work in our warehouse, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
Yes. I am a part of a warehouse team.
"
100,28," We have ten vacant jobs open. If you like, you can refer a friend.
"," Is there anything you want to ask about this job?
How many vacant jobs do you have right now?
"
101,29," What other jobs did you have in the past?
"," What is your best experience from your previous jobs?
I like doing physically active jobs because I feel healthy.
"
102,30," What is your working schedule in your past job look like?
"," You have applied for the job as a truck driver. What do you think is interesting about this job?
It offers a steady paycheck and regular delivery schedules for me.
"
103,31," That is good. What does a usual conversation like between you and the people who receive orders?
"," If you are going to work at our cargo company, it is good if you have experience from working with others. Can you tell me a little if you have such experience?
I usually drive trucks alone but I interact with people who receive the orders.
"
104,32," We both have open jobs for regular workers and on-call workers. Which one do you prefer?
"," Is there anything you want to ask about this job?
Is this a regular job or an on-call job?
"
105,33," What brand manufacturer of trucks had you driven before?
"," What is your best experience from your previous jobs?
Their trucks are always in good condition and undergo regular maintenance.
"
